id,key,value,type
19780876,created_by,r_coastlines,regular
19780877,source,PGS,regular
19780877,created_by,r_coastlines,regular
19780881,source,PGS,regular
19780881,created_by,r_coastlines,regular
19780882,source,PGS,regular
19780882,created_by,r_coastlines,regular
19782662,source,PGS,regular
32191747,ref,310A,regular
32191747,highway,motorway_junction,regular
32191750,ref,310C,regular
32191750,highway,motorway_junction,regular
32191761,ref,80,regular
32191761,highway,motorway_junction,regular
32191781,ref,78,regular
32191781,highway,motorway_junction,regular
32191836,ref,72E,regular
32191836,highway,motorway_junction,regular
32191841,ref,72D,regular
32191841,highway,motorway_junction,regular
32192056,ref,312A,regular
32192056,highway,motorway_junction,regular
32192072,ref,314A,regular
32192072,highway,motorway_junction,regular
32194739,ref,309A,regular
32194739,highway,motorway_junction,regular
32194754,ref,308A,regular
32194754,highway,motorway_junction,regular
32203723,created_by,JOSM,regular
32203797,ref,306,regular
32203797,highway,motorway_junction,regular
32715177,highway,traffic_signals,regular
33402860,created_by,JOSM,regular
33402862,created_by,JOSM,regular
33402870,created_by,JOSM,regular
33402871,created_by,JOSM,regular
33402873,created_by,JOSM,regular
33402875,created_by,JOSM,regular
33402877,created_by,JOSM,regular
33402882,created_by,JOSM,regular
33402887,created_by,JOSM,regular
33402888,created_by,JOSM,regular
33402890,created_by,JOSM,regular
33503402,created_by,JOSM,regular
33503403,created_by,JOSM,regular
33503405,created_by,JOSM,regular
33503406,created_by,JOSM,regular
33503407,created_by,JOSM,regular
33503408,created_by,JOSM,regular
33503409,created_by,JOSM,regular
33503410,created_by,JOSM,regular
33503411,created_by,JOSM,regular
33503412,created_by,JOSM,regular
33503413,created_by,JOSM,regular
33503414,created_by,JOSM,regular
33503415,created_by,JOSM,regular
33503417,created_by,JOSM,regular
33503418,created_by,JOSM,regular
33510341,created_by,JOSM,regular
33510348,created_by,JOSM,regular
33510354,created_by,JOSM,regular
33510359,created_by,JOSM,regular
33510364,created_by,JOSM,regular
33510367,created_by,JOSM,regular
33510856,created_by,JOSM,regular
33510858,created_by,JOSM,regular
33510863,created_by,JOSM,regular
33510869,created_by,JOSM,regular
33510872,created_by,JOSM,regular
33510877,created_by,JOSM,regular
33510878,created_by,JOSM,regular
33511412,created_by,JOSM,regular
33511415,created_by,JOSM,regular
33511417,created_by,JOSM,regular
33511420,created_by,JOSM,regular
33513210,created_by,JOSM,regular
33513211,created_by,JOSM,regular
33513212,created_by,JOSM,regular
33513213,created_by,JOSM,regular
33513217,created_by,JOSM,regular
33513221,created_by,JOSM,regular
33513222,created_by,JOSM,regular
33513223,created_by,JOSM,regular
33513225,created_by,JOSM,regular
33513736,created_by,JOSM,regular
33513737,created_by,JOSM,regular
33513739,created_by,JOSM,regular
33513752,created_by,JOSM,regular
33513754,created_by,JOSM,regular
33513756,created_by,JOSM,regular
33516310,created_by,JOSM,regular
33516314,created_by,JOSM,regular
33516321,created_by,JOSM,regular
33516343,created_by,JOSM,regular
33516358,created_by,JOSM,regular
33516367,created_by,JOSM,regular
33516375,created_by,JOSM,regular
33516383,created_by,JOSM,regular
33516387,created_by,JOSM,regular
33518275,created_by,JOSM,regular
33518276,created_by,JOSM,regular
33518279,created_by,JOSM,regular
33518280,created_by,JOSM,regular
33518283,created_by,JOSM,regular
33518288,created_by,JOSM,regular
33518298,created_by,JOSM,regular
33518300,created_by,JOSM,regular
33518301,created_by,JOSM,regular
33519802,created_by,JOSM,regular
33519803,created_by,JOSM,regular
33519809,created_by,JOSM,regular
33521906,created_by,JOSM,regular
33521910,created_by,JOSM,regular
33521914,created_by,JOSM,regular
33521928,created_by,JOSM,regular
33521949,created_by,JOSM,regular
33521950,created_by,JOSM,regular
33521951,created_by,JOSM,regular
33521952,created_by,JOSM,regular
33521953,created_by,JOSM,regular
33521954,created_by,JOSM,regular
33521976,created_by,JOSM,regular
33522088,created_by,JOSM,regular
33522109,created_by,JOSM,regular
33522117,created_by,JOSM,regular
33522123,created_by,JOSM,regular
33522126,created_by,JOSM,regular
33522139,created_by,JOSM,regular
