,year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,lat,long,is_hub
2508,2003,8,AA,American Airlines,CLT,"Charlotte, NC: Charlotte Douglas International",240.0,64.0,14.23,13.04,23.02,0.0,13.71,16.0,0.0,4502.0,1557.0,928.0,999.0,0.0,1018.0,35.21401111,-80.94312583,1
2512,2003,8,AA,American Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",980.0,245.0,68.37,34.84,100.62,0.81,40.36,34.0,7.0,14488.0,3766.0,2623.0,5308.0,13.0,2778.0,38.85208333,-77.03772222,1
2514,2003,8,AA,American Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12846.0,2803.0,593.18,117.05,1378.05,11.51,703.21,209.0,99.0,168637.0,41610.0,8734.0,72471.0,328.0,45494.0,32.89595056,-97.0372,1
2532,2003,8,AA,American Airlines,JFK,"New York, NY: John F. Kennedy International",1229.0,346.0,95.5,16.52,178.38,2.1,53.51,65.0,13.0,22523.0,8063.0,1205.0,8698.0,60.0,4497.0,40.63975111,-73.77892556,1
2535,2003,8,AA,American Airlines,LAX,"Los Angeles, CA: Los Angeles International",2590.0,589.0,179.81,53.55,202.43,5.42,147.81,26.0,3.0,37064.0,12644.0,5069.0,7778.0,137.0,11436.0,33.94253611,-118.4080744,1
2545,2003,8,AA,American Airlines,MIA,"Miami, FL: Miami International",3314.0,937.0,181.05,53.33,476.23,9.2,217.19,84.0,10.0,56749.0,12581.0,3844.0,22473.0,287.0,17564.0,25.79325,-80.29055556,1
2553,2003,8,AA,American Airlines,ORD,"Chicago, IL: Chicago O'Hare International",7902.0,1738.0,319.16,74.81,943.27,7.71,393.05,239.0,31.0,128660.0,28523.0,7155.0,63050.0,255.0,29677.0,41.979595,-87.90446417,1
2557,2003,8,AA,American Airlines,PHL,"Philadelphia, PA: Philadelphia International",781.0,189.0,48.41,25.72,86.46,0.0,28.41,30.0,1.0,10307.0,2450.0,1577.0,4795.0,0.0,1485.0,39.87195278,-75.24114083,1
2558,2003,8,AA,American Airlines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",473.0,88.0,32.83,17.8,14.03,0.0,23.35,4.0,1.0,4677.0,1225.0,1206.0,590.0,0.0,1656.0,33.43416667,-112.0080556,1
2562,2003,8,AA,American Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",539.0,138.0,40.27,19.46,45.58,0.0,32.69,5.0,5.0,6703.0,1793.0,998.0,1983.0,0.0,1929.0,35.87763889,-78.78747222,1
